time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1716607400.91056204,0.01918249,4903,0.00030954,0.00000000,0,0.00000101,269858,269874,41,0.00047040
1716607401.01070189,0.01940344,4806,0.00034229,0.00000000,0,0.00000143,269874,269879,37,0.00046776
1716607401.11060500,0.02014781,4873,0.00023910,0.00000000,0,0.00000103,269879,269907,36,0.00031480
1716607401.21072721,0.01841349,4776,0.00037096,0.00000000,0,0.00000130,269907,269920,38,0.00047042
1716607401.31076264,0.01854183,4795,0.00036614,0.00000000,0,0.00000102,269920,269927,44,0.00047117
1716607401.41072965,0.01996144,4812,0.00036302,0.00000000,0,0.00000137,269927,269948,41,0.00047832
1716607401.50994968,0.02155377,4780,0.00043449,0.00000000,0,0.00000108,269948,269952,35,0.00051256
1716607401.61086416,0.01693011,4827,0.00023751,0.00000000,0,0.00000108,269952,269965,33,0.00046473
1716607401.71091127,0.01857544,4781,0.00030270,0.00000000,0,0.00000094,269965,269976,35,0.00046341
1716607401.81077933,0.01785117,4794,0.00042392,0.00000000,0,0.00000090,269976,269981,39,0.00047467
1716607401.91078877,0.01410323,4859,0.00019378,0.00000000,0,0.00000063,269981,269991,34,0.00047705
1716607402.01089334,0.01714933,4758,0.00025660,0.00000000,0,0.00000081,269991,270011,38,0.00046174
1716607402.11093330,0.01784581,4829,0.00029868,0.00000000,0,0.00000108,270011,270008,40,0.00043728
1716607402.21115923,0.01804767,4705,0.00037964,0.00000000,0,0.00000070,270008,270018,33,0.00048073
1716607402.30998683,0.02197398,4719,0.00022724,0.00000000,0,0.00000092,270018,270029,32,0.00022484
1716607402.40991235,0.02017741,4695,0.00046098,0.00000000,0,0.00000082,270029,270030,34,0.00047638
1716607402.51017189,0.01933329,4747,0.00048282,0.00000000,0,0.00000131,270030,270011,40,0.00043660
1716607402.60984111,0.01774903,4760,0.00031424,0.00000000,0,0.00000090,270011,270020,38,0.00068714
1716607402.70981240,0.02001952,4792,0.00056647,0.00000000,0,0.00000081,270020,269946,49,0.00040733
1716607402.80984235,0.01801510,4760,0.00033233,0.00000000,0,0.00000089,269946,269955,42,0.00046280
1716607402.91003108,0.01976568,4816,0.00030152,0.00000000,0,0.00000103,269955,269965,38,0.00047361
1716607403.01004338,0.01758519,4774,0.00028610,0.00000000,0,0.00000101,269965,269992,47,0.00046725
1716607403.11007071,0.01777295,4837,0.00030548,0.00000000,0,0.00000135,269992,270015,44,0.00048157
1716607403.21000338,0.01848448,4870,0.00038422,0.00000000,0,0.00000142,270015,270013,38,0.00046813
1716607403.31016350,0.01710125,4677,0.00021771,0.00000000,0,0.00000084,270013,270025,43,0.00056721
1716607403.40989065,0.01905681,4817,0.00029277,0.00000000,0,0.00000090,270025,270047,35,0.00047027
1716607403.51065183,0.01956510,4792,0.00025367,0.00000000,0,0.00000080,270047,270055,39,0.00046726
1716607403.61001015,0.01829871,4790,0.00047695,0.00000000,0,0.00000111,270055,270031,54,0.00048827
1716607403.70999146,0.01827529,4946,0.00034246,0.00000000,0,0.00000137,270031,270030,44,0.00047939
1716607403.81028652,0.01815636,4860,0.00031842,0.00000000,0,0.00000088,270030,270057,53,0.00050072
1716607403.91016960,0.01813911,4865,0.00041366,0.00000000,0,0.00000102,270057,270048,44,0.00047723
1716607404.01019692,0.01845332,4920,0.00032850,0.00000000,0,0.00000146,270048,270049,43,0.00059820
1716607404.11036110,0.01826085,4862,0.00030353,0.00000000,0,0.00000096,270049,270070,38,0.00050333
1716607404.21035528,0.02142141,4868,0.00033457,0.00000000,0,0.00000120,270070,270091,39,0.00052749
1716607404.31030560,0.01777357,4934,0.00028299,0.00000000,0,0.00000089,270091,270098,33,0.00050254
1716607404.41048932,0.01566735,4865,0.00037201,0.00000000,0,0.00000094,270098,270124,54,0.00046916
1716607404.51126719,0.02092189,4908,0.00035036,0.00000000,0,0.00000109,270124,270101,52,0.00043714
1716607404.61045909,0.01857697,4906,0.00057113,0.00000000,0,0.00000103,270101,270088,50,0.00046427
1716607404.71065640,0.01917160,4884,0.00043912,0.00000000,0,0.00000121,270088,270092,30,0.00048324
1716607404.81063509,0.01743190,4935,0.00042128,0.00000000,0,0.00000110,270092,270078,38,0.00046787
1716607404.91077089,0.02261307,4895,0.00031459,0.00000000,0,0.00000150,270078,270099,47,0.00047930
1716607405.01078486,0.01818321,4946,0.00066204,0.00000000,0,0.00000103,270099,270110,51,0.00046963
1716607405.11081266,0.02103770,4886,0.00038618,0.00000000,0,0.00000135,270110,270114,47,0.00048686
1716607405.21074986,0.01853983,4878,0.00047702,0.00000000,0,0.00000098,270114,270096,39,0.00048524
1716607405.31068182,0.01754728,4945,0.00047160,0.00000000,0,0.00000097,270096,270127,56,0.00068029
1716607405.41067147,0.01664249,4926,0.00037482,0.00000000,0,0.00000100,270127,270149,48,0.00046624
1716607405.51194286,0.01653974,4914,0.00029821,0.00000000,0,0.00000099,270149,270167,37,0.00046611
1716607405.60992599,0.01697913,4914,0.00036750,0.00000000,0,0.00000126,270167,270155,45,0.00046319
1716607405.71081257,0.01713967,4867,0.00023295,0.00000000,0,0.00000102,270155,270171,32,0.00047005
1716607405.81082416,0.01806946,4943,0.00031832,0.00000000,0,0.00000099,270171,270157,36,0.00048759
1716607405.90988612,0.01852035,4863,0.00045185,0.00000000,0,0.00000110,270157,270130,43,0.00046510
1716607406.01098680,0.01811813,4990,0.00020890,0.00000000,0,0.00000084,270130,270145,28,0.00051036
1716607406.11102509,0.01665858,4909,0.00018892,0.00000000,0,0.00000113,270145,270167,36,0.00058676
1716607406.21023154,0.01793931,4921,0.00084387,0.00000000,0,0.00000081,270167,270152,43,0.00047939
1716607406.31113768,0.01817175,4940,0.00042946,0.00000000,0,0.00000082,270152,270161,37,0.00046525
1716607406.41002870,0.01793774,4921,0.00081207,0.00000000,0,0.00000080,270161,270116,51,0.00051734
1716607406.51031947,0.01709070,4991,0.00038490,0.00000000,0,0.00000126,270116,270136,52,0.00047497
1716607406.61028337,0.01775715,4893,0.00061125,0.00000000,0,0.00000081,270136,270147,56,0.00047332
1716607406.71017170,0.01799487,4891,0.00054005,0.00000000,0,0.00000094,270147,270130,55,0.00047022
1716607406.81048083,0.01846801,4947,0.00018711,0.00000000,0,0.00000129,270130,270155,35,0.00046693
1716607406.91032958,0.01802335,4824,0.00043427,0.00000000,0,0.00000100,270155,270170,40,0.00048130
1716607407.00995636,0.01882304,4959,0.00063503,0.00000000,0,0.00000095,270170,270156,39,0.00049181
1716607407.11033416,0.01759502,4915,0.00023739,0.00000000,0,0.00000089,270156,270170,35,0.00050433
1716607407.21037459,0.01739001,4855,0.00023299,0.00000000,0,0.00000100,270170,270199,43,0.00047329
1716607407.31009722,0.01846157,4961,0.00036638,0.00000000,0,0.00000129,270199,270217,43,0.00046714
1716607407.40993357,0.02005873,4904,0.00018447,0.00000000,0,0.00000144,270217,270235,31,0.00048056
1716607407.51015711,0.01906816,4907,0.00038781,0.00000000,0,0.00000127,270235,270254,44,0.00043676
1716607407.60987902,0.01912092,4871,0.00029589,0.00000000,0,0.00000104,270254,270275,39,0.00048490
1716607407.71010089,0.01781316,4836,0.00031872,0.00000000,0,0.00000100,270275,270284,36,0.00047044
1716607407.81015515,0.01843081,4950,0.00020842,0.00000000,0,0.00000109,270284,270312,48,0.00048408
1716607407.91014814,0.02208569,4861,0.00030076,0.00000000,0,0.00000102,270312,270319,40,0.00072828
1716607408.01005101,0.01932544,4862,0.00075794,0.00000000,0,0.00000074,270319,270240,46,0.00051863
1716607408.11016560,0.01814799,4854,0.00032742,0.00000000,0,0.00000123,270240,270270,47,0.00050139
1716607408.21016359,0.01617626,4844,0.00029991,0.00000000,0,0.00000070,270270,270287,36,0.00051287
1716607408.31037951,0.01869723,4894,0.00088591,0.00000000,0,0.00000104,270287,270137,31,0.00029201
1716607408.41028571,0.01907383,4805,0.00036972,0.00000000,0,0.00000105,270137,270131,39,0.00051703
1716607408.51042795,0.01739028,4879,0.00045697,0.00000000,0,0.00000086,270131,270130,39,0.00052050
1716607408.61032748,0.01708802,4843,0.00023075,0.00000000,0,0.00000095,270130,270149,35,0.00034272
1716607408.71049380,0.01981741,4813,0.00031926,0.00000000,0,0.00000133,270149,270166,46,0.00063389
1716607408.81047869,0.01655995,4866,0.00024274,0.00000000,0,0.00000140,270166,270174,46,0.00046859
1716607408.91064811,0.01948601,4771,0.00043266,0.00000000,0,0.00000108,270174,270202,50,0.00030935
1716607409.01067376,0.01844723,4832,0.00030979,0.00000000,0,0.00000132,270202,270213,40,0.00043959
1716607409.11065650,0.01785768,4768,0.00028111,0.00000000,0,0.00000107,270213,270231,41,0.00043871
1716607409.21059346,0.01789497,4753,0.00026370,0.00000000,0,0.00000106,270231,270247,38,0.00045147
1716607409.31055498,0.01782222,4858,0.00013838,0.00000000,0,0.00000134,270247,270271,34,0.00052956
1716607409.41077447,0.01899466,4777,0.00027247,0.00000000,0,0.00000106,270271,270291,39,0.00046324
1716607409.51071095,0.01896310,4832,0.00042096,0.00000000,0,0.00000104,270291,270304,45,0.00047319
1716607409.61069393,0.01855046,4819,0.00027787,0.00000000,0,0.00000098,270304,270328,47,0.00051454
1716607409.71067119,0.01725123,4757,0.00025580,0.00000000,0,0.00000095,270328,270341,40,0.00047028
1716607409.81005144,0.01808258,4840,0.00037141,0.00000000,0,0.00000086,270341,270326,37,0.00052040
1716607409.91092157,0.01876860,4835,0.00033388,0.00000000,0,0.00000089,270326,270359,46,0.00049235
1716607410.01084471,0.01870579,4811,0.00033209,0.00000000,0,0.00000087,270359,270368,35,0.00069596
1716607410.11087823,0.01812641,4802,0.00025826,0.00000000,0,0.00000127,270368,270397,42,0.00046132
1716607410.21010327,0.01715690,4760,0.00015400,0.00000000,0,0.00000075,270397,270416,33,0.00045865
1716607410.31094313,0.01845461,4732,0.00028135,0.00000000,0,0.00000131,270416,270434,38,0.00047203
